Generic_Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (Common),Side Effects (Rare),Similar Drugs,Prescription or OTC
Pneumococcal vaccine,Prevnar 13,Pneumovax 23,,,,,Prevention of pneumococcal infections,"Pain, redness at injection site","Allergic reactions, fever",Meningococcal vaccine,Prescription
Potassium chloride,Klor-Con,K-Dur,,,,,Hypokalemia (potassium replacement),"Nausea, diarrhea","Hyperkalemia, GI ulcers","Sodium bicarbonate, Calcium carbonate",Prescription
Prednisolone,Orapred,Prelone,,,,,"Inflammatory and autoimmune conditions, allergies","Weight gain, insomnia","Cushing’s syndrome, immunosuppression","Prednisone, Methylprednisolone",Prescription
Rotavirus vaccine,Rotarix,RotaTeq,,,,,Prevention of rotavirus gastroenteritis in infants,"Fever, irritability",Intussusception (rare),"DTP vaccine, MMR vaccine",Prescription
Sevelamer,Renvela,Renagel,,,,,Hyperphosphatemia in chronic kidney disease,"Nausea, diarrhea","Constipation, bowel obstruction","Lanthanum carbonate, Calcium carbonate",Prescription
Sildenafil,Viagra,Revatio,,,,,"Erectile dysfunction, pulmonary arterial hypertension","Headache, flushing","Vision changes, priapism","Tadalafil, Vardenafil",Prescription
Sulfamethoxazole/trimethoprim,Bactrim,Septra,,,,,"Bacterial infections (UTI, respiratory, gastrointestinal)","Nausea, rash","Stevens-Johnson syndrome, thrombocytopenia","Ciprofloxacin, Amoxicillin",Prescription
Tadalafil,Cialis,Adcirca,,,,,"Erectile dysfunction, pulmonary arterial hypertension","Headache, indigestion","Priapism, sudden hearing loss","Sildenafil, Vardenafil",Prescription
Tamoxifen,Nolvadex,Tamofen,,,,,Breast cancer prevention and treatment (ER-positive),"Hot flashes, nausea","Endometrial cancer, blood clots","Letrozole, Anastrozole",Prescription
Testosterone,Androgel,Testim,,,,,Hypogonadism (low testosterone),"Acne, hair loss","Sleep apnea, cardiovascular events","Clomiphene, Methyltestosterone",Prescription
Tetanus vaccine,Daptacel,Boostrix,,,,,Tetanus prevention (DTaP vaccine),"Pain at injection site, fever","Allergic reactions, anaphylaxis","Diphtheria vaccine, Pertussis vaccine",Prescription
Tobramycin,Nebcin,Tobi,,,,,"Severe bacterial infections, cystic fibrosis treatment","Ototoxicity, nephrotoxicity","Neuromuscular blockade, allergic reactions","Gentamicin, Amikacin",Prescription
Tolterodine,Detrol,Detrol LA,,,,,Overactive bladder,"Dry mouth, constipation","Blurred vision, urinary retention","Oxybutynin, Solifenacin",Prescription
Topiramate,Topamax,Trokendi XR,,,,,"Epilepsy, migraine prophylaxis","Dizziness, fatigue","Cognitive impairment, kidney stones","Lamotrigine, Levetiracetam",Prescription
Tretinoin,Retin-A,Renova,,,,,"Acne, photoaging, skin conditions","Redness, peeling","Skin irritation, photosensitivity","Adapalene, Isotretinoin",Prescription
Vardenafil,Levitra,Staxyn,,,,,Erectile dysfunction,"Headache, flushing","Vision disturbances, priapism","Sildenafil, Tadalafil",Prescription
Verapamil,Calan,Isoptin,,,,,"Hypertension, angina, arrhythmias","Dizziness, constipation","Bradycardia, heart block","Diltiazem, Amlodipine",Prescription
Vitamin D (Cholecalciferol),D-Vite,Calciferol,,,,,"Vitamin D deficiency, osteoporosis prevention","Hypercalcemia, constipation","Renal impairment, soft tissue calcification","Calcium, Ergocalciferol",Prescription
Warfarin,Coumadin,Jantoven,,,,,"Anticoagulation (stroke prevention, DVT/PE treatment)","Bleeding, bruising","Hemorrhagic stroke, purple toe syndrome","Rivaroxaban, Apixaban",Prescription
Zoledronic acid,Zometa,Reclast,,,,,"Osteoporosis, Paget's disease, bone metastases","Fever, flu-like symptoms","Osteonecrosis of the jaw, renal toxicity","Pamidronate, Ibandronate",Prescription
Zoster vaccine,Shingrix,Zostavax,,,,,Prevention of shingles (herpes zoster),"Pain at injection site, fatigue","Anaphylaxis, Guillain-Barré syndrome","Varicella vaccine, Pneumococcal vaccine",Prescription
Carbamazepine,Tegretol,Carbatrol,Epitol,Equetro,,,Epilepsy; bipolar disorder; trigeminal neuralgia,"Dizziness, nausea, unsteadiness","Aplastic anemia, Stevens-Johnson syndrome","Oxcarbazepine, Lamotrigine",Prescription
Carbidopa,Sinemet,Parcopa,Rytary,,,,Parkinson’s disease (always combined with levodopa),"Nausea, dizziness, dyskinesia","Hallucinations, confusion","Levodopa, Pramipexole",Prescription
Chorionic gonadotropin,Pregnyl,Novarel,Ovidrel,,,,"Ovulation induction, hypogonadism","Injection site reaction, headache","Ovarian hyperstimulation syndrome, thromboembolism","Menotropins, Follitropin",Prescription
Ciclesonide,Alvesco,Omnaris,Zetonna,,,,"Asthma (inhaled), allergic rhinitis (nasal)","Headache, nasal irritation (nasal); oral thrush (inhaled)","Adrenal suppression, growth retardation","Fluticasone, Mometasone",Prescription
Clobetasol,Clobex,Temovate,Olux,,,,"Inflammatory skin conditions (eczema, psoriasis)","Skin thinning, burning","Adrenal suppression, Cushing’s syndrome","Betamethasone, Halobetasol",Prescription
Clotrimazole,Lotrimin AF,Mycelex,Gyne-Lotrimin,,,,Topical treatment of fungal infections,"Local irritation, burning",Allergic reactions,"Miconazole, Terbinafine",Prescription
Cromolyn,Gastrocrom,Crolom,NasalCrom,,,,"Mast cell stabilizer: asthma, allergic rhinitis, mastocytosis","Cough, nasal irritation, eye stinging","Paradoxical bronchospasm, hypersensitivity","Nedocromil, Ketotifen",Prescription
Cyclobenzaprine,Flexeril,Amrix,Fexmid,,,,Muscle spasm relief,"Drowsiness, dry mouth","Serotonin syndrome, arrhythmias","Tizanidine, Methocarbamol",Prescription
Cyclosporine,Neoral,Sandimmune,Restasis,Gengraf,,,"Organ transplantation, autoimmune diseases (e.g., RA, psoriasis)","Hypertension, gingival hyperplasia","Nephrotoxicity, infection risk","Tacrolimus, Mycophenolate",Prescription
Desmopressin,DDAVP,Nocdurna,Stimate,,,,"Diabetes insipidus, nocturia, hemophilia A/vWD","Headache, flushing","Hyponatremia, seizures","Vasopressin, Lypressin",Prescription
Desogestrel,Ortho-Cept,Mircette,Apri,,,,Contraception (usually in combination with estrogen),"Nausea, breast tenderness","Thromboembolism, mood changes","Norgestimate, Drospirenone",Prescription
Dexamethasone,Decadron,DexPak,Baycadron,,,,"Inflammation, allergic states, adrenal insufficiency, COVID-19 adjunct","Insomnia, fluid retention","Osteoporosis, Cushing’s syndrome","Prednisone, Methylprednisolone",Prescription
Diclofenac,Voltaren,Cataflam,Zipsor,,,,"Pain, osteoarthritis, rheumatoid arthritis","Dyspepsia, headache","GI bleeding, liver toxicity","Ibuprofen, Meloxicam",Prescription
Diltiazem,Cardizem,Tiazac,Cartia XT,,,,"Hypertension, angina, atrial fibrillation","Edema, dizziness","Bradycardia, AV block","Verapamil, Amlodipine",Prescription
Dinoprostone,Cervidil,Prepidil,Prostin E2,,,,"Cervical ripening, labor induction","Uterine contractions, fever","Uterine rupture, fetal distress","Misoprostol, Oxytocin",Prescription
Diphenhydramine,Benadryl,Nytol,Sominex,,,,"Allergic reactions, insomnia, motion sickness","Drowsiness, dry mouth","Confusion, urinary retention","Hydroxyzine, Doxylamine",OTC
Doxycycline,Vibramycin,Doryx,Monodox,,,,"Bacterial infections: acne, Lyme disease, STIs","Photosensitivity, GI upset","Esophagitis, hepatotoxicity","Minocycline, Tetracycline",Prescription
Epinephrine,Adrenalin,EpiPen,Auvi-Q,,,,"Anaphylaxis, cardiac arrest, asthma exacerbation","Palpitations, tremor","Hypertension, arrhythmias","Norepinephrine, Isoproterenol",Prescription
Erythromycin,Ery-Tab,E.E.S.,EryPed,,,,"Respiratory, skin, and GI infections; acne; gastroparesis","Nausea, abdominal cramps","QT prolongation, hepatotoxicity","Azithromycin, Clarithromycin",Prescription
Estradiol,Estrace,Climara,Vivelle-Dot,,,,"Menopausal symptoms, hormone replacement therapy","Breast tenderness, headache","Thromboembolism, endometrial hyperplasia","Conjugated estrogens, Estriol",Prescription
Ethinyl estradiol,Loestrin,Yaz,Ortho Tri-Cyclen,,,,Contraception (in combination products),"Nausea, breast tenderness","Thromboembolism, hypertension","Estradiol (HRT), Drospirenone",Prescription
Factor VIII,Advate,Kogenate,Recombinate,,,,Hemophilia A (replacement therapy),"Headache, fever","Inhibitor formation, anaphylaxis",Emicizumab,Prescription
Fenofibrate,Tricor,Antara,Lofibra,,,,"Hypertriglyceridemia, mixed dyslipidemia","GI upset, headache",Rhabdomyolysis (esp. with statins),"Gemfibrozil, Niacin",Prescription
Fentanyl,Duragesic,Sublimaze,Actiq,,,,"Severe pain, anesthesia","Sedation, constipation","Respiratory depression, dependence","Morphine, Hydromorphone",Prescription
Fluticasone,Flonase,Flovent,Arnuity,,,,"Asthma, allergic rhinitis, COPD (depending on form)","Cough, throat irritation","Oral candidiasis, adrenal suppression","Budesonide, Beclomethasone",Prescription
Glyburide,Diabeta,Micronase,Glynase,,,,Type 2 diabetes,"Hypoglycemia, nausea","SIADH, hemolytic anemia (in G6PD deficiency)","Glipizide, Glimepiride",Prescription
Glycerin,Osmoglyn,Pedia-Lax,Sani-Supp,,,,Constipation (suppository); osmotic laxative,Rectal irritation,Electrolyte imbalance (chronic use),"Lactulose, Sorbitol",OTC
Hydrocodone,Vicodin,Norco,Lortab,,,,Moderate to severe pain (usually combined with acetaminophen),"Constipation, sedation","Respiratory depression, dependence","Oxycodone, Codeine",Prescription
Hydrocortisone,Cortef,Solu-Cortef,Anusol HC,,,,"Adrenal insufficiency, inflammation, dermatologic and GI conditions","Mood changes, hyperglycemia","Adrenal suppression, osteoporosis","Prednisone, Methylprednisolone",Prescription
Hydrocodone,Vicodin,Norco,Lortab,,,,Pain relief (opioid),"Constipation, nausea","Respiratory depression, dependence","Oxycodone, Morphine",Prescription
Isotretinoin,Accutane,Claravis,Absorica,,,,Severe acne (oral retinoid),"Dry skin, chapped lips","Teratogenicity, liver toxicity","Tretinoin, Adapalene",Prescription
Levothyroxine,Synthroid,Euthyrox,Eltroxin,,,,Hypothyroidism,"Weight loss, increased appetite","Tachycardia, osteoporosis, hyperthyroidism","Liothyronine, Armour Thyroid",Prescription
Methylphenidate,Ritalin,Concerta,Metadate,,,,"ADHD, narcolepsy","Insomnia, loss of appetite","Tachycardia, hypertension","Amphetamine salts, Dexmethylphenidate",Prescription
Oxybutynin,Ditropan,Oxytrol,Gelnique,,,,Overactive bladder,"Dry mouth, constipation","Urinary retention, blurred vision","Tolterodine, Solifenacin",Prescription
Somatropin,Humatrope,Genotropin,Norditropin,,,,"Growth hormone deficiency, Turner syndrome, Prader-Willi syndrome","Headache, joint pain","Scoliosis, intracranial hypertension","Mecasermin, Tesamorelin",Prescription
Tacrolimus,Prograf,Astagraf XL,Envarsus XR,,,,"Organ transplant immunosuppression (kidney, liver)","Tremor, headache","Nephrotoxicity, hypertension","Cyclosporine, Mycophenolate",Prescription
Adalimumab,Humira,Amjevita,Hadlima,Hyrimoz,Cyltezo,Abrilada,"Rheumatoid arthritis, psoriasis, Crohn’s disease","Injection site pain, headache, rash","Serious infections, malignancy","Etanercept, Infliximab, Ustekinumab",Prescription
Albuterol,ProAir HFA,Ventolin,Proventil,AccuNeb,VoSpire ER,,"Asthma, COPD (bronchodilator)","Tremor, nervousness, palpitations","Paradoxical bronchospasm, hypokalemia","Levalbuterol, Salmeterol",Prescription
Abacavir,Ziagen,Epzicom,Triumeq,Trizivir,,,HIV-1 infection (in combination therapy),"Nausea, headache, fatigue","Hypersensitivity reaction, liver toxicity","Lamivudine, Tenofovir, Emtricitabine",Prescription
Acetylcysteine,Mucomyst,Acetadote,Cetylev,,,,"Acetaminophen overdose, mucolytic therapy in lung diseases","Nausea, vomiting, rash","Bronchospasm, anaphylactoid reactions","Carbocysteine, Dornase alfa",Prescription
Alprazolam,Xanax,Niravam,Xanax XR,,,,"Anxiety, panic disorder","Drowsiness, dizziness, fatigue","Dependence, withdrawal seizures","Lorazepam, Diazepam",Prescription
Alprostadil,Caverject,Edex,Muse,Prostin VR,,,"Erectile dysfunction, ductus arteriosus patency in neonates","Penile pain, urethral burning","Priapism, hypotension","Sildenafil, Phentolamine",Prescription
Amantadine,Symmetrel,Gocovri,Osmolex ER,,,,"Parkinson’s disease, influenza A prophylaxis","Dizziness, dry mouth, nausea","Hallucinations, CHF exacerbation","Rimantadine, Levodopa",Prescription
Amiodarone,Cordarone,Pacerone,Nexterone,,,,"Ventricular arrhythmias, atrial fibrillation","Fatigue, tremor, nausea","Pulmonary fibrosis, thyroid dysfunction","Sotalol, Dronedarone",Prescription
Amoxicillin,Amoxil,Trimox,Moxatag,,,,"Bacterial infections (respiratory, ear, skin, UTI)","Diarrhea, rash, nausea","Anaphylaxis, pseudomembranous colitis","Ampicillin, Augmentin",Prescription
Amphotericin B,Fungizone,Abelcet,Ambisome,,,,Serious fungal infections,"Fever, chills, nephrotoxicity","Hypokalemia, arrhythmias","Caspofungin, Voriconazole",Prescription
Abaloparatide,Tymlos,,,,,,Osteoporosis in postmenopausal women at high fracture risk,"Dizziness, nausea, headache","Orthostatic hypotension, hypercalcemia",Teriparatide,Prescription
Abametapir,Xeglyze,,,,,,Head lice infestation,"Skin irritation, burning, redness",Allergic skin reactions,"Permethrin, Ivermectin",Prescription
Abatacept,Orencia,,,,,,"Rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis","Headache, nausea, upper respiratory infection","Serious infections, malignancy","Adalimumab, Etanercept, Infliximab",Prescription
Abciximab,ReoPro,,,,,,Adjunct to PCI in patients with cardiac ischemia,"Bleeding, nausea","Thrombocytopenia, allergic reaction","Eptifibatide, Tirofiban",Prescription
Acalabrutinib,Calquence,,,,,,"Mantle cell lymphoma, chronic lymphocytic leukemia","Headache, diarrhea, fatigue","Atrial fibrillation, bleeding","Ibrutinib, Zanubrutinib",Prescription
Acarbose,Precose,,,,,,Type 2 diabetes mellitus (postprandial glucose control),"Flatulence, diarrhea, abdominal pain",Hepatotoxicity,"Miglitol, Metformin",Prescription
Acebutolol,Sectral,,,,,,"Hypertension, cardiac arrhythmias","Fatigue, dizziness, bradycardia","Heart block, bronchospasm","Atenolol, Metoprolol, Bisoprolol",Prescription
AcetaZOLAMIDE,Diamox,,,,,,"Glaucoma, altitude sickness, epilepsy, edema","Paresthesia, frequent urination, nausea","Blood dyscrasias, Stevens-Johnson syndrome","Methazolamide, Dorzolamide",Prescription
Aclidinium,Tudorza,Pressair,,,,,COPD (chronic obstructive pulmonary disease),"Headache, cough, sore throat","Urinary retention, paradoxical bronchospasm","Tiotropium, Glycopyrrolate",Prescription
Acyclovir,Zovirax,Sitavig,,,,,"Herpes simplex, herpes zoster, varicella","Nausea, diarrhea, headache","Renal toxicity, neurotoxicity","Valacyclovir, Famciclovir, Ganciclovir",Prescription
Adapalene,Differin,Epiduo,,,,,Acne vulgaris,"Dryness, redness, irritation","Skin discoloration, hypersensitivity","Tretinoin, Tazarotene",Prescription
Adefovir,Hepsera,,,,,,Chronic hepatitis B infection,"Headache, abdominal pain, nausea","Nephrotoxicity, lactic acidosis","Tenofovir, Entecavir",Prescription
Adenosine,Adenocard,Adenoscan,,,,,Supraventricular tachycardia (SVT),"Flushing, chest discomfort, dyspnea","Asystole, bronchospasm","Verapamil, Diltiazem",Prescription
Ado-trastuzumab emtansine,Kadcyla,,,,,,HER2+ breast cancer,"Fatigue, nausea, musculoskeletal pain","Hepatotoxicity, thrombocytopenia","Trastuzumab, Lapatinib",Prescription
Afatinib,Gilotrif,,,,,,Non-small cell lung cancer (NSCLC) with EGFR mutations,"Diarrhea, rash, stomatitis","ILD, hepatotoxicity","Erlotinib, Gefitinib",Prescription
Aflibercept,Eylea,Zaltrap,,,,,"Wet AMD, colorectal cancer (Zaltrap)","Eye pain (Eylea), hypertension (Zaltrap)",Arterial thromboembolic events,"Ranibizumab, Bevacizumab",Prescription
Agomelatine,Valdoxan,,,,,,Major depressive disorder (not FDA approved in US),"Headache, dizziness, nausea","Liver dysfunction, suicidal thoughts","Sertraline, Mirtazapine",Prescription
Alclometasone,Aclovate,,,,,,"Inflammatory skin conditions (dermatitis, eczema)","Burning, itching, dryness","Skin thinning, allergic reactions","Hydrocortisone, Desonide",Prescription
Alendronate,Fosamax,Binosto,,,,,"Osteoporosis, Paget’s disease","Abdominal pain, musculoskeletal pain","Jaw osteonecrosis, esophageal ulcers","Risedronate, Ibandronate",Prescription
Alfentanil,Alfenta,,,,,,Analgesia during anesthesia,"Drowsiness, nausea, respiratory depression","Hypotension, apnea","Fentanyl, Sufentanil",Prescription
Alfuzosin,Uroxatral,,,,,,Benign prostatic hyperplasia (BPH),"Dizziness, headache, fatigue","Hypotension, QT prolongation","Tamsulosin, Doxazosin",Prescription
Aliskiren,Tekturna,,,,,,Hypertension,"Diarrhea, dizziness, headache","Hyperkalemia, angioedema","Lisinopril, Losartan",Prescription
Allopurinol,Zyloprim,Aloprim,,,,,"Gout, hyperuricemia","Rash, diarrhea, drowsiness","Severe skin reactions (SJS, TEN), hepatotoxicity","Febuxostat, Colchicine",Prescription
Almotriptan,Axert,,,,,,Acute migraine attacks,"Dizziness, nausea, dry mouth","Serotonin syndrome, chest pain","Sumatriptan, Rizatriptan",Prescription
Alogliptin,Nesina,,,,,,Type 2 diabetes mellitus,"Nasopharyngitis, headache, upper RTI","Pancreatitis, heart failure","Sitagliptin, Saxagliptin",Prescription
Alosetron,Lotronex,,,,,,IBS with diarrhea (in women),"Constipation, abdominal discomfort","Ischemic colitis, serious GI complications","Eluxadoline, Rifaximin",Prescription
Alteplase,Activase,Cathflo,,,,,"Acute ischemic stroke, MI, PE, catheter occlusion","Bleeding, nausea, hypotension",Intracranial hemorrhage,"Tenecteplase, Reteplase",Prescription
Aluminium hydroxide,Alternagel,Amphojel,,,,,"Heartburn, indigestion, hyperphosphatemia","Constipation, stomach cramps",Aluminum toxicity (in renal impairment),"Calcium carbonate, Magnesium hydroxide",OTC
Ambrisentan,Letairis,,,,,,Pulmonary arterial hypertension (PAH),"Peripheral edema, nasal congestion","Liver injury, fetal toxicity","Bosentan, Macitentan",Prescription
Amcinonide,Cyclocort,,,,,,Inflammatory skin conditions,"Burning, itching, skin irritation","Skin thinning, HPA axis suppression","Fluocinonide, Betamethasone",Prescription
Amifostine,Ethyol,,,,,,Cytoprotection during chemotherapy or radiation,"Nausea, vomiting, hypotension","Hypersensitivity, seizures","Mesna, Palifermin",Prescription
Amikacin,Amikin,,,,,,Severe gram-negative bacterial infections,"Nephrotoxicity, ototoxicity, fever","Neuromuscular blockade, renal failure","Gentamicin, Tobramycin",Prescription
Amiloride,Midamor,,,,,,"Hypertension, heart failure, potassium-sparing diuretic","Dizziness, headache, nausea","Hyperkalemia, arrhythmias","Spironolactone, Triamterene",Prescription
Aminocaproic acid,Amicar,,,,,,Control of acute bleeding due to elevated fibrinolysis,"Muscle weakness, fatigue, nausea","Hypotension, thrombosis",Tranexamic acid,Prescription
Aminophylline,Phyllocontin,Truphylline,,,,,Bronchodilator for asthma and COPD,"Nausea, headache, restlessness","Seizures, arrhythmias",Theophylline,Prescription
Amitriptyline,Elavil,Endep,,,,,"Depression, neuropathic pain, migraine prophylaxis","Drowsiness, dry mouth, weight gain","Cardiac arrhythmias, suicidal ideation","Nortriptyline, Imipramine",Prescription
Amlodipine,Norvasc,Katerzia,,,,,"Hypertension, angina","Swelling, flushing, fatigue","Hypotension, arrhythmia","Felodipine, Nifedipine",Prescription
Ammonium lactate,Lac-Hydrin,Amlactin,,,,,"Dry skin, ichthyosis, eczema","Burning, rash, stinging",Severe irritation or allergic reaction,"Urea, Lactic acid cream",Prescription
Amobarbital,Amytal,,,,,,Sedative-hypnotic for insomnia and preanesthesia,"Drowsiness, confusion","Respiratory depression, dependency","Phenobarbital, Secobarbital",Prescription
Amorolfine,Loceryl,,,,,,Fungal nail infections (topical),"Itching, burning at application site","Nail discoloration, allergic reactions","Ciclopirox, Terbinafine (topical)",Prescription
Amoxapine,Asendin,,,,,,Major depressive disorder,"Sedation, dry mouth, constipation","Extrapyramidal symptoms, tardive dyskinesia","Amitriptyline, Nortriptyline",Prescription
Ampicillin,Principen,Omnipen,,,,,"Bacterial infections (respiratory, GI, meningitis)","Rash, nausea, diarrhea","Hypersensitivity, superinfection","Amoxicillin, Piperacillin",Prescription
Amprenavir,Agenerase,,,,,,HIV infection (protease inhibitor),"Nausea, rash, oral numbness","Liver toxicity, fat redistribution","Fosamprenavir, Ritonavir",Prescription
Amrinone,Inocor,,,,,,Short-term treatment of congestive heart failure,"Thrombocytopenia, arrhythmia","Hepatotoxicity, hypotension",Milrinone,Prescription
Anagrelide,Agrylin,,,,,,Thrombocythemia in myeloproliferative disorders,"Headache, palpitations, nausea","Congestive heart failure, arrhythmias","Hydroxyurea, Busulfan",Prescription
Anastrozole,Arimidex,,,,,,Breast cancer (hormone receptor-positive),"Hot flashes, weakness, joint pain","Osteoporosis, cardiovascular events","Letrozole, Exemestane",Prescription
Anidulafungin,Eraxis,,,,,,Systemic fungal infections (e.g. candidemia),"Diarrhea, headache, nausea","Hepatotoxicity, infusion-related reactions","Caspofungin, Micafungin",Prescription
Anistreplase,Eminase,,,,,,Acute myocardial infarction (thrombolytic),"Bleeding, fever, hypotension","Intracranial hemorrhage, allergic reactions","Alteplase, Streptokinase",Prescription
Anthralin,Dritho-Scalp,Psoriatec,,,,,Psoriasis (topical treatment),"Skin irritation, staining",Severe skin inflammation,"Calcipotriene, Tazarotene",Prescription
Apixaban,Eliquis,,,,,,"Stroke prevention in AFib, DVT/PE treatment and prevention","Bleeding, nausea, anemia","Spinal hematoma, thrombocytopenia","Rivaroxaban, Dabigatran",Prescription
Apomorphine,Apokyn,,,,,,Parkinson’s disease “off” episodes,"Nausea, yawning, dizziness","Syncope, QT prolongation","Levodopa, Pramipexole",Prescription
Apremilast,Otezla,,,,,,"Psoriatic arthritis, plaque psoriasis","Diarrhea, nausea, headache","Depression, weight loss","Methotrexate, Adalimumab",Prescription
Aprepitant,Emend,Cinvanti,,,,,Chemotherapy-induced nausea and vomiting,"Fatigue, hiccups, constipation","Hypersensitivity, liver toxicity","Ondansetron, Fosaprepitant",Prescription
Ardeparin,Normiflo,,,,,,DVT prevention (low molecular weight heparin),"Injection site reactions, bleeding","Thrombocytopenia, spinal hematoma","Enoxaparin, Dalteparin",Prescription
Argatroban,Argatra,,,,,,Heparin-induced thrombocytopenia treatment,"Bleeding, hypotension","Hepatic dysfunction, allergic reactions","Bivalirudin, Lepirudin",Prescription
Aripiprazole,Abilify,Aristada,,,,,"Schizophrenia, bipolar disorder, depression adjunct","Akathisia, headache, insomnia","NMS, tardive dyskinesia","Risperidone, Olanzapine",Prescription
Arsenic trioxide,Trisenox,,,,,,Acute promyelocytic leukemia (APL),"Nausea, vomiting, fatigue","QT prolongation, differentiation syndrome","Tretinoin (ATRA), Idarubicin",Prescription
Artemether/lumefantrine,Coartem,,,,,,Malaria (Plasmodium falciparum),"Headache, dizziness, fever","QT prolongation, severe allergic reactions","Atovaquone-proguanil, Quinine sulfate",Prescription
Atenolol,Tenormin,,,,,,"Hypertension, angina, post-MI","Fatigue, bradycardia, cold extremities","Heart block, bronchospasm","Metoprolol, Bisoprolol",Prescription
Atomoxetine,Strattera,,,,,,ADHD (non-stimulant),"Decreased appetite, nausea, fatigue","Liver injury, suicidal thoughts","Methylphenidate, Guanfacine",Prescription
Atorvastatin,Lipitor,,,,,,High cholesterol; prevention of cardiovascular events,"Muscle pain, elevated liver enzymes, nausea","Rhabdomyolysis, liver failure","Simvastatin, Rosuvastatin",Prescription
Atovaquone,Mepron,,,,,,Pneumocystis pneumonia prophylaxis/treatment; malaria treatment,"Headache, rash, gastrointestinal upset",Hepatotoxicity,Atovaquone-proguanil (Malarone),Prescription
Atracurium,Tracrium,,,,,,Neuromuscular blockade during anesthesia,"Hypotension, histamine release",Prolonged neuromuscular blockade,"Cisatracurium, Vecuronium",Prescription
Atropine,Atropen,Isopto Atropine,,,,,Bradycardia; pre-anesthesia; anticholinergic effects,"Dry mouth, blurred vision, tachycardia","Urinary retention, confusion",Scopolamine,Prescription
Auranofin,Ridaura,,,,,,Rheumatoid arthritis,"Diarrhea, rash","Nephrotoxicity, bone marrow suppression","Methotrexate, Hydroxychloroquine",Prescription
Avanafil,Stendra,,,,,,Erectile dysfunction,"Headache, flushing, nasal congestion","Hypotension, priapism","Sildenafil, Tadalafil",Prescription
Axitinib,Inlyta,,,,,,Renal cell carcinoma,"Diarrhea, hypertension, fatigue","Hepatotoxicity, thromboembolism","Sunitinib, Sorafenib",Prescription
Azacitidine,Vidaza,,,,,,"Myelodysplastic syndrome, acute myeloid leukemia","Nausea, vomiting, injection site reactions","Myelosuppression, fever",Decitabine,Prescription
Azathioprine,Imuran,,,,,,"Organ transplantation, autoimmune disorders","Nausea, vomiting, leukopenia","Hepatotoxicity, pancreatitis","6-mercaptopurine, Mycophenolate mofetil",Prescription
Azelaic acid,Finacea,,,,,,"Rosacea, acne","Skin irritation, dryness",Hypopigmentation,"Topical metronidazole, benzoyl peroxide",Prescription
Azelastine,Astelin,Astepro,,,,,"Allergic rhinitis, allergic conjunctivitis","Bitter taste, drowsiness","Nasal irritation, epistaxis","Olopatadine, Levocabastine",Prescription
Azithromycin,Zithromax,Zmax,,,,,"Bacterial infections (respiratory, skin, STIs)","Diarrhea, nausea, abdominal pain","QT prolongation, hepatotoxicity","Clarithromycin, Erythromycin",Prescription
Aztreonam,Azactam,,,,,,Gram-negative bacterial infections,"Injection site reactions, rash","Anaphylaxis, C. difficile infection",Broad-spectrum antibiotics (alternatives),Prescription
Bacitracin,Bacitracin,,,,,,Topical treatment of skin infections,"Skin irritation, contact dermatitis",Allergic reaction,"Mupirocin, Neomycin",Prescription
Baclofen,Lioresal,,,,,,Muscle spasticity,"Drowsiness, dizziness","Respiratory depression, hypotension","Tizanidine, Diazepam",Prescription
